;Apr12_TPC_0-0-1_LMW;Apr12_TPC_0-0-1_LMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,05415467;0,007707132;
652,284;0,0541807;0,007940743;
654,148;0,05445194;0,008417799;
656,011;0,05503362;0,00920355;
657,875;0,05524315;0,009615403;
659,739;0,05446468;0,009037554;
661,602;0,05359888;0,008370683;
663,466;0,05361386;0,008582917;
665,330;0,05327602;0,008440671;
667,193;0,05435768;0,00971629;
669,057;0,05656093;0,01211188;
670,921;0,05666301;0,01240471;
672,784;0,05711216;0,01304302;
674,648;0,05758427;0,01370272;
676,512;0,05836609;0,01467059;
678,375;0,05898341;0,01547242;
680,239;0,05954533;0,01621734;
682,103;0,06009028;0,01694379;
683,966;0,06085955;0,01789308;
685,830;0,06137337;0,01858546;
687,694;0,06179344;0,01918263;
689,557;0,06184484;0,0194097;
691,421;0,06168264;0,01942175;
693,285;0,0614168;0,01932876;
695,149;0,06111736;0,01920078;
697,012;0,06037813;0,01863163;
698,876;0,05946017;0,0178824;
700,740;0,05847735;0,01706696;
702,603;0,05752707;0,01628274;
704,467;0,05627569;0,0151961;
706,331;0,05473064;0,01381448;
708,194;0,05279341;0,0120394;
710,058;0,05068626;0,01009312;
711,922;0,04849822;0,008064685;
713,785;0,04645208;0,006176908;
715,649;0,04456775;0,004449703;
717,513;0,04293346;0,002971315;
719,376;0,04152062;0,00171317;
721,240;0,04048343;0,0008294688;
723,104;0,0397253;0,0002236564;
724,967;0,03925593;-9,458317E-5;
726,831;0,0389522;-0,00024834;
728,695;0,03880671;-0,0002450001;
730,558;0,03866802;-0,0002359993;
732,422;0,03856143;-0,0001960325;
734,286;0,03850209;-0,0001099187;
736,149;0,03853552;6,785026E-5;
738,013;0,03848089;0,0001564787;
739,877;0,03848109;0,0002988446;
741,740;0,03848504;0,0004438988;
743,604;0,03859154;0,0006904447;
745,468;0,03856798;0,0008058716;
747,331;0,03854045;0,0009162962;
749,195;0,03857887;0,001091643;
751,059;0,03858756;0,001236244;
752,922;0,03853052;0,0013141;
754,786;0,03854666;0,001464146;
756,650;0,03853368;0,001584079;
758,513;0,03861206;0,001794391;
760,377;0,03867166;0,001984956;
762,241;0,03866126;0,002104562;
764,104;0,03868638;0,002258739;
765,968;0,03883023;0,002530704;
767,832;0,03884702;0,002674675;
769,695;0,03877876;0,002732676;
771,559;0,0387795;0,002858764;
773,423;0,03890573;0,003109444;
775,286;0,03896992;0,003297179;
777,150;0,03912222;0,003572138;
779,014;0,03931549;0,003887186;
780,877;0,03939578;0,004088385;
782,741;0,0394514;0,004264043;
784,605;0,0394355;0,004367339;
786,468;0,03937468;0,004424867;
788,332;0,03946108;0,004628764;
790,196;0,03944683;0,004731196;
792,059;0,03956771;0,004967924;
793,923;0,03961364;0,005128896;
795,787;0,03945719;0,005086682;
797,650;0,03932822;0,005071142;
799,514;0,03939485;0,005250411;
801,378;0,0394601;0,005427512;
803,241;0,03958419;0,005662683;
805,105;0,0397033;0,00589209;
806,969;0,03992626;0,006224601;
808,832;0,0402864;0,006693521;
810,696;0,04060403;0,007119194;
812,560;0,04084152;0,007463976;
814,423;0,0411193;0,007848309;
816,287;0,04145246;0,008287301;
818,151;0,04206882;0,009008765;
820,014;0,04292647;0,009970816;
821,878;0,04424141;0,01138943;
823,742;0,04594784;0,01319884;
825,605;0,04830186;0,01565514;
827,469;0,05157964;0,01903452;
829,333;0,05546514;0,02302093;
831,196;0,05919089;0,0268469;
833,060;0,06136511;0,02912068;
834,924;0,0610117;0,02886616;
836,787;0,05897989;0,02693259;
838,651;0,05625436;0,02430464;
840,515;0,05359602;0,02174323;
842,378;0,05130173;0,01954522;
844,242;0,04958113;0,01792027;
846,106;0,04830379;0,01673795;
847,969;0,04768329;0,01621185;
849,833;0,0476139;0,01623623;
851,697;0,04782573;0,01654122;
853,560;0,04822661;0,01703465;
855,424;0,04885269;0,01775266;
857,288;0,04948497;0,0184763;
859,151;0,05015022;0,0192323;
861,015;0,05070572;0,01987795;
862,879;0,05089546;0,02015728;
864,742;0,05070286;0,02005367;
866,606;0,05023312;0,01967237;
868,470;0,04935952;0,01888662;
870,333;0,04815193;0,01776632;
872,197;0,04676601;0,01646714;
874,061;0,04535816;0,01514547;
875,924;0,04381903;0,01369197;
877,788;0,04234752;0,01230555;
879,652;0,04088203;0,0109246;
881,515;0,03943614;0,009562733;
883,379;0,03815313;0,008363197;
885,243;0,03711632;0,007409345;
887,106;0,03625416;0,006629608;
888,970;0,03556814;0,006025507;
890,834;0,03507859;0,005617353;
892,697;0,03468239;0,005302047;
894,561;0,03435683;0,005056866;
896,425;0,03416568;0,004945604;
898,288;0,0341413;0,005000611;
900,152;0,03414695;0,005085155;
902,016;0,0340981;0,005114715;
903,879;0,034115;0,005209535;
905,743;0,03414124;0,00531322;
907,607;0,0342164;0,005465345;
909,470;0,03428226;0,005607696;
911,334;0,03430867;0,005710131;
913,198;0,03434889;0,005825907;
915,061;0,03447029;0,006022398;
916,925;0,03458814;0,006214897;
918,789;0,03466905;0,006369985;
920,652;0,03466726;0,006441931;
922,516;0,03472892;0,006576887;
924,380;0,0348597;0,006780508;
926,243;0,03498253;0,006975749;
928,107;0,03506491;0,007130104;
929,971;0,03516781;0,007304539;
931,834;0,03529397;0,007501811;
933,698;0,03547892;0,00775745;
935,562;0,03561202;0,007960811;
937,425;0,03575482;0,008173456;
939,289;0,03594131;0,00842937;
941,153;0,03614431;0,008701389;
943,016;0,0362316;0,008857285;
944,880;0,03639771;0,009091604;
946,744;0,03664952;0,009411215;
948,607;0,03695659;0,009785685;
950,471;0,03719177;0,01008787;
952,335;0,03739045;0,01035316;
954,198;0,03760304;0,01063198;
956,062;0,03789258;0,01098735;
957,926;0,03819104;0,01135126;
959,789;0,0385063;0,01173159;
961,653;0,03887557;0,01216555;
963,517;0,03927266;0,01262696;
965,380;0,03962105;0,01303929;
967,244;0,04001482;0,01349664;
969,108;0,04048048;0,01402551;
970,972;0,04094058;0,01454846;
972,835;0,04145863;0,01512899;
974,699;0,04200586;0,01573836;
976,563;0,04247533;0,0162696;
978,426;0,04306087;0,01691656;
980,290;0,04368978;0,01760653;
982,154;0,04433898;0,01831646;
984,017;0,045099;0,01913685;
985,881;0,04597297;0,02007085;
987,745;0,04688053;0,02103812;
989,608;0,04766922;0,02188616;
991,472;0,04784922;0,02212519;
993,336;0,04740946;0,02174412;
995,199;0,04690854;0,02130156;
997,063;0,04668764;0,0211387;
998,927;0,04664782;0,02115659;
1000,790;0,04673314;0,0212993;
1002,654;0,04679361;0,02141684;
1004,518;0,0468202;0,02150018;
1006,381;0,04684996;0,02158638;
1008,245;0,04692387;0,02171641;
1010,109;0,04698478;0,02183313;
1011,972;0,04699457;0,02189843;
1013,836;0,04701163;0,02197069;
1015,700;0,04706062;0,02207458;
1017,563;0,04707038;0,02213893;
1019,427;0,04709296;0,02221581;
1021,291;0,04715204;0,02232889;
1023,154;0,04725312;0,02248368;
1025,018;0,04738118;0,02266515;
1026,882;0,04761275;0,02294984;
1028,745;0,04789301;0,02328293;
1030,609;0,04829879;0,02374126;
1032,473;0,04854785;0,02404258;
1034,336;0,04837691;0,02392362;
1036,200;0,04802536;0,02362377;
1038,064;0,04794596;0,02359579;
1039,927;0,04812809;0,02382907;
1041,791;0,04850754;0,02425939;
1043,655;0,04897339;0,02477583;
1045,518;0,04948958;0,02534236;
1047,382;0,04980655;0,02570938;
1049,246;0,0498475;0,02580013;
1051,109;0,04988822;0,02589038;
1052,973;0,05000151;0,02605293;
1054,837;0,05019055;0,02629098;
1056,700;0,05049637;0,02664555;
1058,564;0,05083963;0,0270373;
1060,428;0,05121206;0,02745796;
1062,291;0,05161451;0,02790839;
1064,155;0,05211103;0,02845264;
1066,019;0,05277956;0,02916865;
1067,882;0,0535624;0,02999872;
1069,746;0,05442871;0,03091201;
1071,610;0,05542334;0,03195337;
1073,473;0,05648056;0,03305709;
1075,337;0,05762501;0,03424779;
1077,201;0,05873227;0,03540107;
1079,064;0,05982394;0,03653852;
1080,928;0,06094679;0,0377069;
1082,792;0,06219708;0,0390025;
1084,655;0,06353583;0,04038631;
1086,519;0,0649894;0,04188472;
1088,383;0,06657995;0,04351989;
1090,246;0,0682423;0,04522661;
1092,110;0,06981809;0,04684656;
1093,974;0,07133056;0,04840295;
1095,837;0,0726347;0,0497508;
1097,701;0,07368578;0,05084536;
1099,565;0,07449651;0,05169935;
1101,428;0,07520762;0,0524535;
1103,292;0,07571919;0,05300789;
1105,156;0,0760394;0,05337071;
1107,019;0,07619897;0,05357267;
1108,883;0,07622393;0,05363981;
1110,747;0,07604554;0,05350338;
1112,610;0,07575955;0,05325915;
1114,474;0,0754246;0,05296575;
1116,338;0,07506586;0,05264835;
1118,201;0,07451929;0,0521429;
1120,065;0,07390039;0,05156493;
1121,929;0,07325799;0,05096325;
1123,792;0,0725134;0,05025918;
1125,656;0,07162784;0,04941394;
1127,520;0,07065432;0,04848054;
1129,383;0,06952599;0,04739213;
1131,247;0,06838048;0,04628635;
1133,111;0,06717581;0,04512121;
1134,974;0,0660052;0,04398993;
1136,838;0,06485013;0,042874;
1138,702;0,06375889;0,04182171;
1140,565;0,06268802;0,04078959;
1142,429;0,06169408;0,03983422;
1144,293;0,06071173;0,03889025;
1146,156;0,05981787;0,03803458;
1148,020;0,0589364;0,03719112;
1149,884;0,05808024;0,03637278;
1151,747;0,05722446;0,03555464;
1153,611;0,05643296;0,03480059;
1155,475;0,05567848;0,03408339;
1157,338;0,05493905;0,03338105;
1159,202;0,05418205;0,03266097;
1161,066;0,05360824;0,0321239;
1162,929;0,05316054;0,03171276;
1164,793;0,05279355;0,03138216;
1166,657;0,0524391;0,03106392;
1168,520;0,05218119;0,03084205;
1170,384;0,0520062;0,03070293;
1172,248;0,0517757;0,03050813;
1174,111;0,05144171;0,03020966;
1175,975;0,05107509;0,02987839;
1177,839;0,05066195;0,02950044;
1179,702;0,05022468;0,0290982;
1181,566;0,04976643;0,02867481;
1183,430;0,04928626;0,02822933;
1185,293;0,04870311;0,02768072;
1187,157;0,04805978;0,02707175;
1189,021;0,04738038;0,02642656;
1190,884;0,04670636;0,02578658;
1192,748;0,04601327;0,02512738;
1194,612;0,0453064;0,02445424;
1196,475;0,04454385;0,02372525;
1198,339;0,04382711;0,02304193;
1200,203;0,04311457;0,02236264;
1202,066;0,04246268;0,02174386;
1203,930;0,04184731;0,02116144;
1205,794;0,04123868;0,0205856;
1207,657;0,0406534;0,02003297;
1209,521;0,04014121;0,01955328;
1211,385;0,03969076;0,01913517;
1213,248;0,03931142;0,01878803;
1215,112;0,03900554;0,01851419;
1216,976;0,03878703;0,01832759;
1218,839;0,03854512;0,01811743;
1220,703;0,03837093;0,01797485;
1222,567;0,03829014;0,01792552;
1224,430;0,03822991;0,01789661;
1226,294;0,03819336;0,01789124;
1228,158;0,0382746;0,01800352;
1230,021;0,03838862;0,01814843;
1231,885;0,03851583;0,0183064;
1233,749;0,03866167;0,01848286;
1235,612;0,03893614;0,0187878;
1237,476;0,03923627;0,01911827;
1239,340;0,03950169;0,0194139;
1241,203;0,0397931;0,01973538;
1243,067;0,04012019;0,0200924;
1244,931;0,04045742;0,02045942;
1246,795;0,04085194;0,02088361;
1248,658;0,04124942;0,02131062;
1250,522;0,04164681;0,02173741;
1252,386;0,04210073;0,0222206;
1254,249;0,04257465;0,02272366;
1256,113;0,04299704;0,02317506;
1257,977;0,04348327;0,02369017;
1259,840;0,04403736;0,02427301;
1261,704;0,04457648;0,02484076;
1263,568;0,04512262;0,02541539;
1265,431;0,04570619;0,02602733;
1267,295;0,04625645;0,02660584;
1269,159;0,04688186;0,02725937;
1271,022;0,04754715;0,02795266;
1272,886;0,04818391;0,02861729;
1274,750;0,04877842;0,02923956;
1276,613;0,04941359;0,02990237;
1278,477;0,05009961;0,0306159;
1280,341;0,05084924;0,03139292;
1282,204;0,0515157;0,03208665;
1284,068;0,05214524;0,03274334;
1285,932;0,05286469;0,03348983;
1287,795;0,05359098;0,03424304;
1289,659;0,05419696;0,03487582;
1291,523;0,05482995;0,03553549;
1293,386;0,05543961;0,03617173;
1295,250;0,0560581;0,03681667;
1297,114;0,05665944;0,03744435;
1298,977;0,05727592;0,03808706;
1300,841;0,05787363;0,03871089;
1302,705;0,05846727;0,03933053;
1304,568;0,05900716;0,03989632;
1306,432;0,05958591;0,04050085;
1308,296;0,06014986;0,04109047;
1310,159;0,06062407;0,04159024;
1312,023;0,06117142;0,04216304;
1313,887;0,06180852;0,0428255;
1315,750;0,0623676;0,04340981;
1317,614;0,06303331;0,04410064;
1319,478;0,06364519;0,04473755;
1321,341;0,0640847;0,04520198;
1323,205;0,06447071;0,04561281;
1325,069;0,06495662;0,04612342;
1326,932;0,06553708;0,04672849;
1328,796;0,06613825;0,04735416;
1330,660;0,06666788;0,04790819;
1332,523;0,0671647;0,0484293;
1334,387;0,06768664;0,04897543;
1336,251;0,06845655;0,04976944;
1338,114;0,06952;0,05085689;
1339,978;0,07056577;0,05192655;
1341,842;0,07092318;0,05230775;
1343,705;0,07123992;0,05264818;
1345,569;0,07188672;0,05331858;
1347,433;0,07271849;0,05417385;
1349,296;0,07354823;0,05502698;
1351,160;0,07437679;0,05587885;
1353,024;0,07517333;0,05669859;
1354,887;0,07594996;0,05749834;
1356,751;0,07648944;0,05806084;
1358,615;0,07697845;0,05857277;
1360,478;0,07785873;0,05947588;
1362,342;0,07925934;0,06089922;
1364,206;0,07991908;0,0615816;
1366,069;0,07999484;0,06167991;
1367,933;0,08049828;0,06220581;
1369,797;0,08107197;0,06280187;
1371,660;0,08150106;0,06325323;
1373,524;0,08269497;0,06446932;
1375,388;0,08360991;0,06540635;
1377,251;0,08381332;0,06563176;
1379,115;0,08408282;0,06592317;
1380,979;0,08441553;0,06627772;
1382,842;0,08466717;0,06655109;
1384,706;0,08502664;0,06693221;
1386,570;0,08620657;0,06813371;
1388,433;0,08695662;0,06890523;
1390,297;0,08642981;0,06839981;
1392,161;0,08607873;0,06807003;
1394,024;0,08683179;0,06884431;
1395,888;0,08728255;0,0693162;
1397,752;0,08710741;0,06916211;
1399,615;0,08677693;0,0688526;
1401,479;0,0855424;0,06763895;
1403,343;0,08466499;0,06678233;
1405,206;0,08412352;0,06626158;
1407,070;0,08310966;0,06526836;
1408,934;0,0819394;0,06411864;
1410,797;0,08110298;0,0633027;
1412,661;0,08006616;0,06228626;
1414,525;0,0788959;0,06113631;
1416,388;0,0779886;0,06024924;
1418,252;0,0784626;0,06074339;
1420,116;0,07817591;0,06047677;
1421,979;0,07646363;0,05878448;
1423,843;0,07527242;0,05761318;
1425,707;0,07409259;0,05645319;
1427,570;0,07310057;0,05548093;
1429,434;0,07261014;0,05501017;
1431,298;0,07189676;0,05431639;
1433,161;0,07064402;0,05308318;
1435,025;0,070497;0,05295561;
1436,889;0,07134421;0,05382219;
1438,752;0,07027253;0,05276981;
1440,616;0,0689095;0,05142601;
1442,480;0,06806166;0,05059732;
1444,343;0,06753899;0,05009372;
1446,207;0,06725067;0,0498244;
1448,071;0,06731919;0,04991185;
1449,934;0,0665197;0,04913122;
1451,798;0,06552674;0,04815704;
1453,662;0,06444453;0,04709354;
1455,525;0,06508057;0,04774822;
1457,389;0,06648773;0,04917394;
1459,253;0,06527537;0,04798009;
1461,116;0,06287009;0,04559323;
1462,980;0,06190488;0,04464637;
1464,844;0,06205523;0,04481501;
1466,707;0,06128758;0,04406557;
1468,571;0,05996896;0,04276511;
1470,435;0,0597012;0,04251542;
1472,298;0,0608478;0,04368003;
1474,162;0,06105491;0,04390508;
1476,026;0,06038469;0,04325274;
1477,889;0,05926123;0,04214707;
1479,753;0,05849321;0,04139679;
1481,617;0,05818816;0,04110942;
1483,480;0,05775261;0,04069147;
1485,344;0,05750982;0,04046622;
1487,208;0,05787254;0,04084641;
1489,071;0,0587766;0,04176788;
1490,935;0,05874158;0,0417502;
1492,799;0,05733392;0,04035981;
1494,662;0,05691021;0,03995332;
1496,526;0,05771027;0,04077053;
1498,390;0,05804379;0,04112112;
1500,253;0,05722283;0,04031719;
1502,117;0,05586221;0,03897352;
1503,981;0,05535379;0,038482;
1505,844;0,05748531;0,04063034;
1507,708;0,05948036;0,04264217;
1509,572;0,05800436;0,04118287;
1511,435;0,05640647;0,03960163;
1513,299;0,05529921;0,03851095;
1515,163;0,0551575;0,03838577;
1517,026;0,055334;0,03857873;
1518,890;0,05492125;0,03818238;
1520,754;0,05543918;0,03871665;
1522,618;0,05533302;0,03862677;
1524,481;0,05462949;0,03793946;
1526,345;0,05397709;0,03730322;
1528,209;0,05314277;0,036485;
1530,072;0,05200789;0,03536616;
1531,936;0,0519214;0,03529566;
1533,800;0,05226034;0,03565053;
1535,663;0,05082781;0,03423387;
1537,527;0,05010918;0,03353105;
1539,391;0,05155997;0,0349976;
1541,254;0,05297392;0,03642724;
1543,118;0,05209752;0,03556648;
1544,982;0,051074;0,03455854;
1546,845;0,04970031;0,03320039;
1548,709;0,04917541;0,03269095;
1550,573;0,04880516;0,03233612;
1552,436;0,04846955;0,03201587;
1554,300;0,0481957;0,03175732;
1556,164;0,04807759;0,03165447;
1558,027;0,05038493;0,033977;
1559,891;0,05220465;0,03581186;
1561,755;0,04953563;0,03315792;
1563,618;0,0477801;0,03141742;
1565,482;0,04707328;0,03072559;
1567,346;0,04684555;0,03051278;
1569,209;0,04736155;0,03104365;
1571,073;0,04696647;0,03066339;
1572,937;0,04571309;0,02942478;
1574,800;0,04582547;0,02955187;
1576,664;0,04667554;0,0304166;
1578,528;0,04586858;0,02962425;
1580,391;0,04475224;0,02852247;
1582,255;0,04404376;0,0278285;
1584,119;0,04379625;0,02759545;
1585,982;0,04344381;0,02725741;
1587,846;0,04316919;0,02699714;
1589,710;0,04278598;0,02662825;
1591,573;0,04247887;0,02633539;
1593,437;0,04228205;0,02615277;
1595,301;0,04223684;0,02612172;
1597,164;0,04196258;0,02586156;
1599,028;0,04172113;0,02563416;
1600,892;0,04165886;0,0255859;
1602,755;0,04173749;0,02567849;
1604,619;0,04181456;0,02576947;
1606,483;0,04206465;0,02603341;
1608,346;0,04236664;0,02634922;
1610,210;0,04254082;0,02653717;
1612,074;0,04240163;0,02641169;
1613,937;0,04250972;0,02653345;
1615,801;0,04379412;0,02783147;
1617,665;0,04467435;0,02872527;
1619,528;0,04413097;0,02819543;
1621,392;0,043869;0,02794693;
1623,256;0,04455405;0,02864542;
1625,119;0,04466649;0,02877125;
1626,983;0,04455996;0,02867806;
1628,847;0,04434283;0,02847423;
1630,710;0,04381529;0,02795994;
1632,574;0,04333868;0,02749654;
1634,438;0,04455287;0,02872388;
1636,301;0,04598724;0,03017137;
1638,165;0,04538242;0,02957962;
1640,029;0,04427234;0,02848257;
1641,892;0,04365014;0,02787335;
1643,756;0,04366904;0,02790519;
1645,620;0,044822;0,02907105;
1647,483;0,04575978;0,03002167;
1649,347;0,04452722;0,02880192;
1651,211;0,04455235;0,02883981;
1653,074;0,04748072;0,03178091;
1654,938;0,04769313;0,03200599;
1656,802;0,04578466;0,03011015;
1658,665;0,04447354;0,02881163;
1660,529;0,04443434;0,02878498;
1662,393;0,04479843;0,02916158;
1664,256;0,04441283;0,02878844;
1666,120;0,04348502;0,02787306;
1667,984;0,04333484;0,02773526;
1669,847;0,04355689;0,02796965;
1671,711;0,04283405;0,02725911;
1673,575;0,04220403;0,02664135;
1675,438;0,04196387;0,02641341;
1677,302;0,0407683;0,02523001;
1679,166;0,03967498;0,02414883;
1681,029;0,03869427;0,02318021;
1682,893;0,03920154;0,02369954;
1684,757;0,03946982;0,02397984;
1686,620;0,03824128;0,02276327;
1688,484;0,03671301;0,02124694;
1690,348;0,03550349;0,02004932;
1692,211;0,03427638;0,01883406;
1694,075;0,03386345;0,01843295;
1695,939;0,03366845;0,01824974;
1697,802;0,03314582;0,01773884;
1699,666;0,03314902;0,01775374;
1701,530;0,03171179;0,01632818;
1703,393;0,03032269;0,01495071;
1705,257;0,02892591;0,01356551;
1707,121;0,02779932;0,01245047;
1708,984;0,02647003;0,0111327;
1710,848;0,02517949;0,00985363;
1712,712;0,02437896;0,009064539;
1714,575;0,02408199;0,008778966;
1716,439;0,0242602;0,008968533;
1718,303;0,02389939;0,008619058;
1720,166;0,02250279;0,00723374;
1722,030;0,02138196;0,006124168;
1723,894;0,02057601;0,005329427;
1725,757;0,02000919;0,004773791;
1727,621;0,01946712;0,004242857;
1729,485;0,01924235;0,004029193;
1731,348;0,01903025;0,003828173;
1733,212;0,01977858;0,004587539;
1735,076;0,01958472;0,00440467;
1736,939;0,01868563;0,003516554;
1738,803;0,01798145;0,0028233;
1740,667;0,01768562;0,002538361;
1742,530;0,01747194;0,002335542;
1744,394;0,01703048;0,001904902;
1746,258;0,01682111;0,001706328;
1748,121;0,01682362;0,001719595;
1749,985;0,01694797;0,001854658;
1751,849;0,01656617;0,001483551;
1753,712;0,01571033;0,0006383592;
1755,576;0,01547607;0,0004147258;
1757,440;0,01525732;0,0002065619;
1759,303;0,01515567;0,0001154616;
1761,167;0,01531134;0,0002816454;
1763,031;0,01530756;0,0002883518;
1764,894;0,01482087;-0,0001878902;
1766,758;0,01474653;-0,0002518063;
1768,622;0,01475072;-0,0002372347;
1770,485;0,01512505;0,0001474486;
1772,349;0,01532999;0,0003627118;
1774,213;0,01502453;6,753952E-5;
1776,076;0,01458879;-0,0003579425;
1777,940;0,0142931;-0,0006434149;
1779,804;0,01439644;-0,0005298861;
1781,667;0,01431799;-0,0005981706;
1783,531;0,01437306;-0,0005329814;
1785,395;0,01424003;-0,0006559089;
1787,258;0,01405759;-0,0008282913;
