;May06_TPC_06-04-0_HMW;May06_TPC_06-04-0_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
650,420;0,1427224;0,006452486;
652,284;0,141961;0,00667343;
654,148;0,1413412;0,007024834;
656,011;0,1406687;0,00731252;
657,875;0,1401502;0,007743292;
659,739;0,1395534;0,008085125;
661,602;0,1389647;0,008424508;
663,466;0,1381122;0,008489695;
665,330;0,1364991;0,007784;
667,193;0,1363979;0,00858014;
669,057;0,137472;0,01054158;
670,921;0,1358217;0,009768864;
672,784;0,1348106;0,009625491;
674,648;0,1341573;0,009830545;
676,512;0,1337269;0,01024896;
678,375;0,1330371;0,0103987;
680,239;0,1324567;0,01064861;
682,103;0,1317063;0,01071954;
683,966;0,1311224;0,010948;
685,830;0,1305339;0,01116306;
687,694;0,1300562;0,01148023;
689,557;0,1294538;0,01166408;
691,421;0,1289379;0,01192607;
693,285;0,1284143;0,01217204;
695,149;0,1280432;0,01256219;
697,012;0,1275274;0,01279949;
698,876;0,1270034;0,01302069;
700,740;0,1262568;0,01301128;
702,603;0,1255623;0,01304631;
704,467;0,1247545;0,01296018;
706,331;0,1239281;0,01284797;
708,194;0,123148;0,01277447;
710,058;0,1223842;0,01270994;
711,922;0,1216201;0,0126378;
713,785;0,1209713;0,01267376;
715,649;0,1203615;0,01274155;
717,513;0,1197925;0,01284321;
719,376;0,1191453;0,01285967;
721,240;0,1185554;0,01292659;
723,104;0,1178953;0,01291651;
724,967;0,1172754;0,01294003;
726,831;0,1166905;0,01299196;
728,695;0,1161289;0,01306066;
730,558;0,1154732;0,01302893;
732,422;0,1149571;0,01313038;
734,286;0,1144466;0,01323119;
736,149;0,1140652;0,01345498;
738,013;0,1135499;0,0135387;
739,877;0,1130256;0,01360748;
741,740;0,1125974;0,01376634;
743,604;0,1122839;0,01403406;
745,468;0,1119769;0,01430247;
747,331;0,1117849;0,01468019;
749,195;0,1114194;0,01487869;
751,059;0,1111009;0,01511869;
752,922;0,1109235;0,01549424;
754,786;0,1107168;0,01583498;
756,650;0,1103289;0,01598915;
758,513;0,1100358;0,01623291;
760,377;0,1097655;0,01649417;
762,241;0,109563;0,01681797;
764,104;0,1092432;0,01701945;
765,968;0,1089455;0,01723791;
767,832;0,1086711;0,01747474;
769,695;0,1083987;0,01770848;
771,559;0,108138;0,01794919;
773,423;0,1079786;0,01828627;
775,286;0,1076769;0,01847636;
777,150;0,1073752;0,01866179;
779,014;0,10714;0,01890903;
780,877;0,1069383;0,01918511;
782,741;0,1067265;0,0194466;
784,605;0,1064695;0,01965836;
786,468;0,1061795;0,01983278;
788,332;0,1058258;0,019939;
790,196;0,1053603;0,01992917;
792,059;0,1049863;0,02000657;
793,923;0,1045372;0,02000462;
795,787;0,1040475;0,01995789;
797,650;0,1034783;0,0198275;
799,514;0,1030568;0,01984075;
801,378;0,1026234;0,01983814;
803,241;0,1021556;0,01979705;
805,105;0,1015688;0,01963307;
806,969;0,1009911;0,01947423;
808,832;0,100409;0,01930715;
810,696;0,09972513;0,01903454;
812,560;0,09901885;0,01873573;
814,423;0,09836379;0,01848442;
816,287;0,09757264;0,01809334;
818,151;0,09676244;0,01767958;
820,014;0,09602798;0,01733797;
821,878;0,09534636;0,01704562;
823,742;0,09470231;0,01678734;
825,605;0,09421903;0,01668636;
827,469;0,09364849;0,01649467;
829,333;0,09303032;0,01625197;
831,196;0,09251323;0,01610697;
833,060;0,09206062;0,01602314;
834,924;0,09153314;0,01586116;
836,787;0,09106993;0,01576018;
838,651;0,09045515;0,01550444;
840,515;0,08968271;0,01508785;
842,378;0,08900954;0,0147674;
844,242;0,08851108;0,01461853;
846,106;0,0880297;0,01448368;
847,969;0,08744898;0,01424646;
849,833;0,08685831;0,01399627;
851,697;0,08649774;0,01397321;
853,560;0,08623941;0,01404945;
855,424;0,08600542;0,01414712;
857,288;0,08591628;0,01438676;
859,151;0,08585867;0,01465508;
861,015;0,08572849;0,01484802;
862,879;0,08568305;0,01512291;
864,742;0,08564139;0,01539884;
866,606;0,08562833;0,01570063;
868,470;0,08560848;0,01599293;
870,333;0,08558955;0,01628349;
872,197;0,08554842;0,01654921;
874,061;0,08550515;0,01681018;
875,924;0,08549165;0,01709833;
877,788;0,08552378;0,01742956;
879,652;0,08552549;0,01772783;
881,515;0,0855356;0,01803201;
883,379;0,0855274;0,0183154;
885,243;0,08558521;0,01866235;
887,106;0,08573799;0,01910184;
888,970;0,0859548;0,01960296;
890,834;0,08612507;0,02005518;
892,697;0,08625389;0,02046358;
894,561;0,08638639;0,02087335;
896,425;0,08661674;0,02137866;
898,288;0,08686852;0,02190312;
900,152;0,08712034;0,02242538;
902,016;0,08741193;0,02298517;
903,879;0,08768264;0,02352188;
905,743;0,08794317;0,02404622;
907,607;0,08832999;0,02469469;
909,470;0,08874364;0,02536785;
911,334;0,08915657;0,02603817;
913,198;0,08957003;0,02670692;
915,061;0,08988911;0,02727922;
916,925;0,09020667;0,02784795;
918,789;0,09062291;0,02851331;
920,652;0,09098386;0,02912138;
922,516;0,09136117;0,02974381;
924,380;0,09174357;0,03036936;
926,243;0,09211158;0,03097857;
928,107;0,09248316;0,03158941;
929,971;0,09299295;0,03233656;
931,834;0,09352254;0,0331016;
933,698;0,09405475;0,03386738;
935,562;0,09464034;0,0346847;
937,425;0,09532129;0,03559553;
939,289;0,09603184;0,03653414;
941,153;0,0966823;0,03741086;
943,016;0,09731026;0,03826329;
944,880;0,09807126;0,039247;
946,744;0,09893262;0,04032932;
948,607;0,09981288;0,0414288;
950,471;0,1006739;0,04250736;
952,335;0,1015137;0,04356293;
954,198;0,1023455;0,0446089;
956,062;0,1032554;0,04573118;
957,926;0,1042439;0,04693049;
959,789;0,1052558;0,04815159;
961,653;0,1061485;0,04925183;
963,517;0,1070562;0,05036555;
965,380;0,108104;0,05161764;
967,244;0,1091901;0,05290658;
969,108;0,1103328;0,05425051;
970,972;0,1115581;0,05567547;
972,835;0,1127219;0,05703744;
974,699;0,1137213;0,0582335;
976,563;0,1146737;0,05938109;
978,426;0,1155821;0,06048313;
980,290;0,1163813;0,06147456;
982,154;0,117193;0,06247699;
984,017;0,1179834;0,0634567;
985,881;0,1188632;0,06452433;
987,745;0,1197364;0,06558403;
989,608;0,1206792;0,06671185;
991,472;0,1216649;0,06788127;
993,336;0,1227401;0,06913871;
995,199;0,1239876;0,07056722;
997,063;0,1253868;0,07214597;
998,927;0,1267033;0,07364076;
1000,790;0,128063;0,0751773;
1002,654;0,129489;0,07677894;
1004,518;0,1308792;0,07834347;
1006,381;0,1323162;0,0799535;
1008,245;0,1338537;0,08166266;
1010,109;0,135295;0,08327451;
1011,972;0,1367426;0,08489126;
1013,836;0,1381682;0,08648487;
1015,700;0,1394698;0,08795317;
1017,563;0,1406732;0,08932212;
1019,427;0,1418583;0,09067153;
1021,291;0,1428832;0,09185957;
1023,154;0,1438157;0,09295403;
1025,018;0,144564;0,09386312;
1026,882;0,1451492;0,09460785;
1028,745;0,1456619;0,09527899;
1030,609;0,1460669;0,09584131;
1032,473;0,1464125;0,09634303;
1034,336;0,1466799;0,09676554;
1036,200;0,1467538;0,09699333;
1038,064;0,1468354;0,09722772;
1039,927;0,1467704;0,09731453;
1041,791;0,1464614;0,09715615;
1043,655;0,1460382;0,09688253;
1045,518;0,1455035;0,09649628;
1047,382;0,1447673;0,09590755;
1049,246;0,1440079;0,09529458;
1051,109;0,1432643;0,09469633;
1052,973;0,1424034;0,09397983;
1054,837;0,1414416;0,09316134;
1056,700;0,1404407;0,09230269;
1058,564;0,1394328;0,09143609;
1060,428;0,1383965;0,09054011;
1062,291;0,137278;0,08956096;
1064,155;0,1362965;0,08871782;
1066,019;0,1353704;0,08792919;
1067,882;0,1344384;0,08713361;
1069,746;0,1334345;0,08626521;
1071,610;0,1324043;0,08536958;
1073,473;0,1314527;0,08455152;
1075,337;0,1305008;0,08373236;
1077,201;0,1294936;0,08285696;
1079,064;0,1284903;0,08198451;
1080,928;0,1274314;0,08105553;
1082,792;0,1264232;0,08017649;
1084,655;0,1254656;0,07934707;
1086,519;0,1245155;0,07852423;
1088,383;0,123481;0,07761615;
1090,246;0,1224945;0,07675522;
1092,110;0,1214485;0,07583395;
1093,974;0,120328;0,07483734;
1095,837;0,1192781;0,07391047;
1097,701;0,1182226;0,07297723;
1099,565;0,1170613;0,07193731;
1101,428;0,1159757;0,07097218;
1103,292;0,114915;0,0700312;
1105,156;0,1139199;0,06915511;
1107,019;0,1130892;0,06844247;
1108,883;0,1124208;0,06789141;
1110,747;0,1117654;0,0673526;
1112,610;0,1111617;0,06686471;
1114,474;0,1106254;0,06644341;
1116,338;0,1101061;0,06603832;
1118,201;0,1095661;0,0656118;
1120,065;0,1090914;0,06524984;
1121,929;0,1085857;0,06485603;
1123,792;0,1079648;0,06434642;
1125,656;0,1072593;0,06375142;
1127,520;0,1065062;0,06310803;
1129,383;0,1057469;0,06245777;
1131,247;0,1050283;0,06184751;
1133,111;0,1042223;0,06114913;
1134,974;0,1033914;0,06042514;
1136,838;0,1026617;0,05980164;
1138,702;0,1019725;0,05921801;
1140,565;0,101232;0,05858225;
1142,429;0,1005204;0,05797487;
1144,293;0,09985626;0,05741416;
1146,156;0,09924334;0,05690403;
1148,020;0,09864627;0,05640909;
1149,884;0,09806474;0,05592903;
1151,747;0,09751136;0,05547646;
1153,611;0,09702677;0,05509203;
1155,475;0,0964672;0,05463197;
1157,338;0,09590295;0,05416659;
1159,202;0,09539541;0,05375729;
1161,066;0,09497513;0,05343462;
1162,929;0,09456099;0,05311747;
1164,793;0,09421805;0,05287089;
1166,657;0,09394392;0,05269251;
1168,520;0,09364372;0,05248745;
1170,384;0,09333832;0,05227659;
1172,248;0,09303004;0,05206224;
1174,111;0,0927126;0,05183814;
1175,975;0,09246114;0,05167943;
1177,839;0,09229769;0,05160814;
1179,702;0,09224886;0,05165089;
1181,566;0,09226001;0,05175305;
1183,430;0,09236593;0,0519494;
1185,293;0,09257093;0,05224426;
1187,157;0,09281097;0,05257361;
1189,021;0,09311226;0,05296364;
1190,884;0,09353359;0,05347316;
1192,748;0,09396022;0,05398742;
1194,612;0,09445848;0,05457278;
1196,475;0,09499295;0,05519379;
1198,339;0,09550464;0,05579149;
1200,203;0,09601958;0,05639191;
1202,066;0,09655979;0,05701707;
1203,930;0,09711856;0,05766026;
1205,794;0,09764804;0,05827365;
1207,657;0,09815514;0,05886413;
1209,521;0,09867754;0,0594694;
1211,385;0,0992256;0,06009982;
1213,248;0,0997313;0,06068738;
1215,112;0,100169;0,06120642;
1216,976;0,100564;0,06168232;
1218,839;0,10097;0,06216866;
1220,703;0,1013295;0,06260805;
1222,567;0,1016659;0,06302382;
1224,430;0,102003;0,06343981;
1226,294;0,1022736;0,06378891;
1228,158;0,1024787;0,06407188;
1230,021;0,1026019;0,06427261;
1231,885;0,1027439;0,06449163;
1233,749;0,1028741;0,06469833;
1235,612;0,1029652;0,06486557;
1237,476;0,103021;0,06499699;
1239,340;0,1031106;0,0651617;
1241,203;0,1032371;0,06536301;
1243,067;0,1033363;0,06553642;
1244,931;0,1034087;0,06568267;
1246,795;0,1034909;0,06583822;
1248,658;0,1036484;0,06606869;
1250,522;0,1038458;0,06633863;
1252,386;0,1040127;0,06657766;
1254,249;0,1041598;0,06679642;
1256,113;0,104344;0,06705182;
1257,977;0,1045598;0,06733846;
1259,840;0,1048102;0,06765921;
1261,704;0,104941;0,06786;
1263,568;0,1049748;0,06796342;
1265,431;0,1050809;0,06813861;
1267,295;0,1051923;0,06831883;
1269,159;0,1053344;0,06852927;
1271,022;0,1054774;0,06874014;
1272,886;0,1055868;0,06891713;
1274,750;0,1056786;0,06907611;
1276,613;0,1058672;0,06933143;
1278,477;0,1060372;0,06956786;
1280,341;0,106287;0,06988361;
1282,204;0,1066211;0,07028333;
1284,068;0,1069971;0,07072461;
1285,932;0,1074169;0,07120919;
1287,795;0,1079552;0,07181197;
1289,659;0,1084903;0,07241117;
1291,523;0,1089945;0,07297913;
1293,386;0,1095491;0,07359708;
1295,250;0,1101991;0,07431015;
1297,114;0,1108691;0,07504277;
1298,977;0,1114679;0,07570379;
1300,841;0,1120686;0,07636649;
1302,705;0,1126263;0,07698574;
1304,568;0,1132074;0,07762803;
1306,432;0,1138038;0,07828531;
1308,296;0,1142957;0,07883778;
1310,159;0,1146463;0,07924856;
1312,023;0,1151171;0,07977919;
1313,887;0,1156368;0,08035832;
1315,750;0,1160332;0,08081397;
1317,614;0,1165619;0,08140148;
1319,478;0,1171638;0,08206183;
1321,341;0,1175945;0,08255071;
1323,205;0,1179774;0,08299149;
1325,069;0,1185059;0,08357745;
1326,932;0,1191219;0,0842507;
1328,796;0,1198955;0,08508112;
1330,660;0,1206927;0,08593496;
1332,523;0,1214131;0,08671159;
1334,387;0,1221782;0,08753258;
1336,251;0,1232504;0,08866042;
1338,114;0,124845;0,09031034;
1339,978;0,1266787;0,092199;
1341,842;0,1276675;0,09324246;
1343,705;0,1283877;0,09401708;
1345,569;0,1295986;0,09528203;
1347,433;0,1309781;0,09671537;
1349,296;0,1324089;0,0981996;
1351,160;0,1337647;0,09960865;
1353,024;0,1351131;0,10101;
1354,887;0,1365999;0,1025493;
1356,751;0,1378258;0,1038276;
1358,615;0,138741;0,1047949;
1360,478;0,1401098;0,1062154;
1362,342;0,1424182;0,1085753;
1364,206;0,1440713;0,1102795;
1366,069;0,1445679;0,110827;
1367,933;0,1455892;0,1118989;
1369,797;0,1466295;0,1129897;
1371,660;0,1472689;0,1136792;
1373,524;0,1487585;0,1152185;
1375,388;0,1501321;0,1166417;
1377,251;0,150334;0,1168929;
1379,115;0,1506699;0,1172778;
1380,979;0,1509343;0,1175909;
1382,842;0,1509293;0,1176344;
1384,706;0,1508773;0,1176307;
1386,570;0,1515225;0,1183238;
1388,433;0,1519617;0,1188108;
1390,297;0,1507335;0,11763;
1392,161;0,1495966;0,1165403;
1394,024;0,1495409;0,1165315;
1395,888;0,1495233;0,1165606;
1397,752;0,1486117;0,1156955;
1399,615;0,1478326;0,1149626;
1401,479;0,1460312;0,1132071;
1403,343;0,1441561;0,1113777;
1405,206;0,1428803;0,1101474;
1407,070;0,1410652;0,1083775;
1408,934;0,1387664;0,1061237;
1410,797;0,1365377;0,1039397;
1412,661;0,1341269;0,1015735;
1414,525;0,1313579;0,09884874;
1416,388;0,1289079;0,09644281;
1418,252;0,127655;0,09523369;
1420,116;0,1262341;0,09385638;
1421,979;0,1232456;0,09091132;
1423,843;0,120867;0,08857583;
1425,707;0,1187154;0,08646715;
1427,570;0,1164819;0,0842763;
1429,434;0,1148902;0,08272705;
1431,298;0,1131791;0,08105815;
1433,161;0,1110012;0,07892232;
1435,025;0,1097287;0,07769167;
1436,889;0,1100265;0,078031;
1438,752;0,1087163;0,07676218;
1440,616;0,1066021;0,07468919;
1442,480;0,1052694;0,07339744;
1444,343;0,1040902;0,0722589;
1446,207;0,1032769;0,07148611;
1448,071;0,1027937;0,07104322;
1449,934;0,1015254;0,06981507;
1451,798;0,09947098;0,06780056;
1453,662;0,09760043;0,06596971;
1455,525;0,09705803;0,0654668;
1457,389;0,09856857;0,06701664;
1459,253;0,09683566;0,06532283;
1461,116;0,09389577;0,06242183;
1462,980;0,09218018;0,06074493;
1464,844;0,09186051;0,06046377;
1466,707;0,09046992;0,05911148;
1468,571;0,08826198;0,05694165;
1470,435;0,08700283;0,05572042;
1472,298;0,08772391;0,05647923;
1474,162;0,0879114;0,05670425;
1476,026;0,08716428;0,05599447;
1477,889;0,08666893;0,05553628;
1479,753;0,08642586;0,05533018;
1481,617;0,08690313;0,05584424;
1483,480;0,08705827;0,05603598;
1485,344;0,08735059;0,05636471;
1487,208;0,08886172;0,05791208;
1489,071;0,0912422;0,06032861;
1490,935;0,09286375;0,06198604;
1492,799;0,09228828;0,06144626;
1494,662;0,09272413;0,06191763;
1496,526;0,09568059;0,06490943;
1498,390;0,09801915;0,06728316;
1500,253;0,0985226;0,0678216;
1502,117;0,09818164;0,06751546;
1503,981;0,09862484;0,0679933;
1505,844;0,1036363;0,07303921;
1507,708;0,1103661;0,07980334;
1509,572;0,1099447;0,07941603;
1511,435;0,109621;0,07912638;
1513,299;0,1104604;0,07999955;
1515,163;0,1118354;0,08140813;
1517,026;0,1144577;0,08406391;
1518,890;0,1159918;0,08563131;
1520,754;0,1192128;0,08888551;
1522,618;0,123211;0,09291664;
1524,481;0,1241413;0,09387973;
1526,345;0,1265468;0,09631795;
1528,209;0,1286052;0,0984088;
1530,072;0,1297194;0,09955539;
1531,936;0,1320406;0,1019088;
1533,800;0,1364398;0,1063399;
1535,663;0,1374705;0,1074025;
1537,527;0,1377566;0,1077204;
1539,391;0,143909;0,1139044;
1541,254;0,1513181;0,1213449;
1543,118;0,1530153;0,1230733;
1544,982;0,1543957;0,1244848;
1546,845;0,1552466;0,1253666;
1548,709;0,1563622;0,126513;
1550,573;0,1586343;0,1288158;
1552,436;0,159489;0,129701;
1554,300;0,1601871;0,1304295;
1556,164;0,1611324;0,131405;
1558,027;0,1648876;0,1351903;
1559,891;0,1718602;0,1421928;
1561,755;0,1691171;0,1394795;
1563,618;0,1664856;0,1368777;
1565,482;0,1660938;0,1365154;
1567,346;0,1660183;0,1364693;
1569,209;0,1666984;0,1371786;
1571,073;0,1669198;0,1374291;
1572,937;0,1648483;0,1353865;
1574,800;0,1642421;0,1348092;
1576,664;0,1655958;0,1361916;
1578,528;0,1647415;0,1353658;
1580,391;0,1625517;0,1332044;
1582,255;0,1613285;0,1320095;
1584,119;0,1601413;0,1308504;
1585,982;0,1590285;0,1297657;
1587,846;0,1576654;0,1284304;
1589,710;0,1563209;0,1271137;
1591,573;0,1547091;0,1255295;
1593,437;0,1532505;0,1240983;
1595,301;0,1516842;0,1225595;
1597,164;0,1500738;0,1209763;
1599,028;0,1481637;0,1190933;
1600,892;0,1464453;0,1174019;
1602,755;0,1447105;0,1156939;
1604,619;0,142917;0,1139272;
1606,483;0,1408391;0,1118759;
1608,346;0,1390172;0,1100805;
1610,210;0,1370649;0,1081545;
1612,074;0,1348311;0,1059469;
1613,937;0,1324949;0,1036369;
1615,801;0,1312337;0,1024017;
1617,665;0,1302291;0,101423;
1619,528;0,1276721;0,09889174;
1621,392;0,1251489;0,09639414;
1623,256;0,1238171;0,09508793;
1625,119;0,1222157;0,09351189;
1626,983;0,1202501;0,09157158;
1628,847;0,1184798;0,08982645;
1630,710;0,1162208;0,08759249;
1632,574;0,1137589;0,08515561;
1634,438;0,1125581;0,08397964;
1636,301;0,1122557;0,08370191;
1638,165;0,1102307;0,08170157;
1640,029;0,1075884;0,07908377;
1641,892;0,1054264;0,07694612;
1643,756;0,1033851;0,07492911;
1645,620;0,1021056;0,0736738;
1647,483;0,1010863;0,07267849;
1649,347;0,0987241;0,07034027;
1651,211;0,09627536;0,06791537;
1653,074;0,09629896;0,0679627;
1654,938;0,09538818;0,06707555;
1656,802;0,09238241;0,0640933;
1658,665;0,08992438;0,06165868;
1660,529;0,08814856;0,05990617;
1662,393;0,0867251;0,05850591;
1664,256;0,08517604;0,05697995;
1666,120;0,08294989;0,0547768;
1667,984;0,08116547;0,05301528;
1669,847;0,07992035;0,05179294;
1671,711;0,07815055;0,05004583;
1673,575;0,07607546;0,04799333;
1675,438;0,07468199;0,04662236;
1677,302;0,07282532;0,04478808;
1679,166;0,0705545;0,04253955;
1681,029;0,06862473;0,04063197;
1682,893;0,06738033;0,03940966;
1684,757;0,06685381;0,03890514;
1686,620;0,06506161;0,03713483;
1688,484;0,06293901;0,03503404;
1690,348;0,06129837;0,0334151;
1692,211;0,05967879;0,03181713;
1694,075;0,05832053;0,03048038;
1695,939;0,05731398;0,02949526;
1697,802;0,05595485;0,02815746;
1699,666;0,05479751;0,02702135;
1701,530;0,05393944;0,02618442;
1703,393;0,05207939;0,02434541;
1705,257;0,05099695;0,02328393;
1707,121;0,04996053;0,02226837;
1708,984;0,04873762;0,02106624;
1710,848;0,04736993;0,01971923;
1712,712;0,04616148;0,01853137;
1714,575;0,04503808;0,01742848;
1716,439;0,04433291;0,01674373;
1718,303;0,04367909;0,01611023;
1720,166;0,04245683;0,01490821;
1722,030;0,04103433;0,01350587;
1723,894;0,04013687;0,01262847;
1725,757;0,03930305;0,01181462;
1727,621;0,03857948;0,01111095;
1729,485;0,03778948;0,01034076;
1731,348;0,03714598;0,009716979;
1733,212;0,0368394;0,009430032;
1735,076;0,03675534;0,00936552;
1736,939;0,03561497;0,008244622;
1738,803;0,03506146;0,007710491;
1740,667;0,0348819;0,007550236;
1742,530;0,0344846;0,007172157;
1744,394;0,03399663;0,00670332;
1746,258;0,03359855;0,006324292;
1748,121;0,0333356;0,006080324;
1749,985;0,03320852;0,00597213;
1751,849;0,03295835;0,005740782;
1753,712;0,03242295;0,005224111;
1755,576;0,03188754;0,004707355;
1757,440;0,03173254;0,004570934;
1759,303;0,03124997;0,004106855;
1761,167;0,03096956;0,003844864;
1763,031;0,03064037;0,003534013;
1764,894;0,03006923;0,002981136;
1766,758;0,02949154;0,00242163;
1768,622;0,02904802;0,001996219;
1770,485;0,0284932;0,001459439;
1772,349;0,02831682;0,001301009;
1774,213;0,02785243;0,0008545042;
1776,076;0,02718357;0,0002034556;
1777,940;0,02662484;-0,0003375463;
1779,804;0,02629251;-0,0006522221;
1781,667;0,02600492;-0,0009222272;
1783,531;0,02562239;-0,001287244;
1785,395;0,02533045;-0,00156175;
1787,258;0,02494268;-0,001932149;
1789,122;0,0244484;-0,002409135;
1790,986;0,02431431;-0,002526002;
1792,849;0,0243632;-0,002459968;
1794,713;0,02405881;-0,002747274;
